Results - Estimator for roll and pitch angles

Data format:
Timestamp [s]:  Roll [deg]   ,   Pitch [deg]
56.791 s:       -178.672     ,     -1.674
56.801 s:       -178.503     ,     -1.841
56.811 s:       -178.730     ,     -1.732
56.821 s:       -178.664     ,     -1.684
56.831 s:       -178.613     ,     -1.791
56.841 s:       -178.845     ,     -1.616
56.851 s:       -178.843     ,     -1.388
56.861 s:       -178.784     ,     -1.216
56.871 s:       -178.775     ,     -1.400
56.881 s:       -178.780     ,     -1.858
56.891 s:       -179.013     ,     -1.683
56.901 s:       -178.958     ,     -1.678
56.911 s:       -178.786     ,     -1.329
56.921 s:       -178.327     ,     -1.787
56.931 s:       -178.670     ,     -1.676
56.941 s:       -178.723     ,     -1.509
56.951 s:       -178.959     ,     -1.445
56.961 s:       -179.019     ,     -1.557
56.971 s:       -178.787     ,     -1.501
56.981 s:       -178.894     ,     -1.164
56.991 s:       -178.717     ,     -1.400
57.001 s:       -179.026     ,     -1.661
57.011 s:       -178.853     ,     -1.605
57.021 s:       -178.784     ,     -1.390
57.031 s:       -178.713     ,     -1.345
57.041 s:       -178.665     ,     -1.567
57.051 s:       -178.735     ,     -1.667
57.061 s:       -178.730     ,     -1.270
57.071 s:       -178.777     ,     -1.280
57.081 s:       -178.839     ,     -1.625
57.091 s:       -178.834     ,     -1.806
57.101 s:       -179.192     ,     -1.730
57.111 s:       -178.674     ,     -1.440
57.121 s:       -178.324     ,     -1.560
57.131 s:       -178.542     ,     -1.516
57.141 s:       -178.840     ,     -1.391
57.151 s:       -179.136     ,     -1.612
57.161 s:       -179.012     ,     -1.859
57.171 s:       -178.500     ,     -1.615
57.181 s:       -178.540     ,     -1.343
57.191 s:       -178.897     ,     -1.335
57.201 s:       -178.781     ,     -1.799
57.211 s:       -178.903     ,     -1.616
57.221 s:       -178.954     ,     -1.510
57.231 s:       -178.549     ,     -1.508
57.241 s:       -178.490     ,     -1.510
57.251 s:       -178.909     ,     -1.664
57.261 s:       -178.728     ,     -1.503
57.271 s:       -178.603     ,     -1.804
57.281 s:       -178.668     ,     -1.274
57.291 s:       -178.897     ,     -1.625
57.301 s:       -179.018     ,     -1.847
57.311 s:       -178.958     ,     -1.678
57.321 s:       -178.618     ,     -1.496
57.331 s:       -178.203     ,     -1.391
57.341 s:       -178.791     ,     -1.324
57.351 s:       -178.733     ,     -1.381
57.361 s:       -178.787     ,     -1.501
57.371 s:       -178.719     ,     -1.571
57.381 s:       -178.505     ,     -1.667
57.391 s:       -178.903     ,     -1.501
57.401 s:       -178.672     ,     -1.155
57.411 s:       -178.910     ,     -1.491
57.421 s:       -178.375     ,     -1.566
57.431 s:       -179.006     ,     -1.344
57.441 s:       -179.065     ,     -1.461
57.451 s:       -178.774     ,     -1.168
57.461 s:       -179.021     ,     -1.612
57.471 s:       -178.268     ,     -1.154
57.481 s:       -178.266     ,     -1.213
57.491 s:       -178.904     ,     -1.557
57.501 s:       -178.840     ,     -1.739
57.511 s:       -179.078     ,     -1.671
57.521 s:       -178.665     ,     -1.393
57.531 s:       -178.670     ,     -1.329
57.541 s:       -178.790     ,     -1.383
57.551 s:       -178.723     ,     -1.451
57.561 s:       -179.306     ,     -1.676
57.571 s:       -178.777     ,     -1.571
57.581 s:       -178.726     ,     -1.332
57.591 s:       -178.561     ,     -1.496
57.601 s:       -178.732     ,     -1.613
57.611 s:       -178.735     ,     -1.495
57.621 s:       -178.499     ,     -1.501
57.631 s:       -178.613     ,     -1.560
57.641 s:       -178.846     ,     -1.500
57.651 s:       -178.730     ,     -1.674
57.661 s:       -178.896     ,     -1.626
57.671 s:       -178.896     ,     -1.626
57.681 s:       -178.834     ,     -1.398
57.691 s:       -178.665     ,     -1.509
57.701 s:       -178.735     ,     -1.323
57.711 s:       -178.842     ,     -1.563
57.721 s:       -178.596     ,     -1.462
57.731 s:       -178.836     ,     -1.630
57.741 s:       -178.902     ,     -1.329
57.751 s:       -178.907     ,     -1.208
57.761 s:       -178.670     ,     -1.445
57.771 s:       -178.668     ,     -1.679
57.781 s:       -178.606     ,     -1.800
57.791 s:       -178.785     ,     -1.620
57.801 s:       -178.902     ,     -1.560
57.811 s:       -178.615     ,     -1.154
57.821 s:       -178.564     ,     -1.723
57.831 s:       -178.491     ,     -1.624
57.841 s:       -178.788     ,     -1.269
57.851 s:       -178.901     ,     -1.562
57.861 s:       -178.615     ,     -1.672
57.871 s:       -178.898     ,     -1.681
57.881 s:       -178.714     ,     -1.403
57.891 s:       -178.959     ,     -1.387
57.901 s:       -178.740     ,     -1.489
57.911 s:       -178.617     ,     -1.325
57.921 s:       -178.781     ,     -1.393
57.931 s:       -178.774     ,     -1.810
57.941 s:       -178.964     ,     -1.784
57.951 s:       -178.904     ,     -1.327
57.961 s:       -178.668     ,     -1.216
57.971 s:       -178.439     ,     -1.618
57.981 s:       -178.500     ,     -1.442
57.991 s:       -178.904     ,     -1.500
58.001 s:       -178.786     ,     -1.560
58.011 s:       -178.549     ,     -1.682
58.021 s:       -178.670     ,     -1.560
58.031 s:       -178.438     ,     -1.504
58.041 s:       -178.790     ,     -1.671
58.051 s:       -178.790     ,     -1.498
58.061 s:       -178.843     ,     -1.504
58.071 s:       -178.717     ,     -1.575
58.081 s:       -178.777     ,     -1.571
58.091 s:       -179.081     ,     -1.436
58.101 s:       -178.673     ,     -1.615
58.111 s:       -178.965     ,     -1.380
58.121 s:       -178.843     ,     -1.562
58.131 s:       -178.500     ,     -1.787
58.141 s:       -178.728     ,     -1.734
58.151 s:       -178.561     ,     -1.381
58.161 s:       -179.021     ,     -1.957
58.171 s:       -178.665     ,     -1.567
58.181 s:       -178.669     ,     -1.273
58.191 s:       -178.904     ,     -1.442
58.201 s:       -178.844     ,     -1.965
58.211 s:       -178.608     ,     -1.623
58.221 s:       -178.423     ,     -1.459
58.231 s:       -178.901     ,     -1.909
58.241 s:       -179.010     ,     -1.339
58.251 s:       -178.899     ,     -1.448
58.261 s:       -178.730     ,     -1.616
58.271 s:       -178.482     ,     -1.343
58.281 s:       -178.838     ,     -1.220
58.291 s:       -178.784     ,     -1.448
58.301 s:       -178.962     ,     -1.730
58.311 s:       -178.787     ,     -1.732
58.321 s:       -178.718     ,     -1.515
